,qseqid,qspecies,sseqid,sspecies,dN,dS,dN/dS
285,Gorai.001G008100.1,Grai,genemark-SEQ_130244-processed-gene-0.7-mRNA-1,kokia,0.0001,0.1016,0.001
286,genemark-SEQ_130244-processed-gene-0.7-mRNA-1,kokia,snap_masked-SEQ_558-processed-gene-87.32-mRNA-1,kirkii,0.0022,0.033,0.0665
291,Gorai.001G008500.1,Grai,augustus_masked-SEQ_558-processed-gene-88.2-mRNA-1,kirkii,0.0086,0.0657,0.1307
294,Gorai.001G008500.1,Grai,augustus_masked-SEQ_130244-processed-gene-0.34-mRNA-1,kokia,0.0057,0.0506,0.1135
295,augustus_masked-SEQ_130244-processed-gene-0.34-mRNA-1,kokia,augustus_masked-SEQ_558-processed-gene-88.2-mRNA-1,kirkii,0.0029,0.0275,0.1059
300,Gorai.001G008800.1,Grai,maker-SEQ_558-snap-gene-88.59-mRNA-1,kirkii,0.0192,0.1026,0.1873
303,Gorai.001G008800.1,Grai,maker-SEQ_125951-augustus-gene-3.65-mRNA-1,kokia,0.0287,0.1463,0.1958
304,maker-SEQ_125951-augustus-gene-3.65-mRNA-1,kokia,maker-SEQ_558-snap-gene-88.59-mRNA-1,kirkii,0.0142,0.0634,0.2246
309,Gorai.001G009200.1,Grai,augustus_masked-SEQ_558-processed-gene-88.7-mRNA-1,kirkii,0.0076,0.0932,0.0817
312,Gorai.001G009200.1,Grai,augustus_masked-SEQ_125951-processed-gene-3.50-mRNA-1,kokia,0.0066,0.0807,0.0816
313,augustus_masked-SEQ_125951-processed-gene-3.50-mRNA-1,kokia,augustus_masked-SEQ_558-processed-gene-88.7-mRNA-1,kirkii,0.001,0.0302,0.0316
318,Gorai.001G009300.1,Grai,maker-SEQ_558-augustus-gene-88.56-mRNA-1,kirkii,0.0034,0.0744,0.0462
321,Gorai.001G009300.1,Grai,maker-SEQ_125951-augustus-gene-3.63-mRNA-1,kokia,0.0023,0.0695,0.0326
322,maker-SEQ_125951-augustus-gene-3.63-mRNA-1,kokia,maker-SEQ_558-augustus-gene-88.56-mRNA-1,kirkii,0.0011,0.0607,0.0185
327,Gorai.001G009400.1,Grai,maker-SEQ_558-augustus-gene-89.70-mRNA-1,kirkii,0.0076,0.0831,0.091
330,Gorai.001G009400.1,Grai,maker-SEQ_125951-augustus-gene-3.59-mRNA-1,kokia,0.0075,0.085,0.0885
331,maker-SEQ_125951-augustus-gene-3.59-mRNA-1,kokia,maker-SEQ_558-augustus-gene-89.70-mRNA-1,kirkii,0.0026,0.0249,0.1053
336,Gorai.001G009600.1,Grai,snap_masked-SEQ_558-processed-gene-89.38-mRNA-1,kirkii,0.0,0.0346,0.001
339,Gorai.001G009600.1,Grai,maker-SEQ_125951-augustus-gene-3.58-mRNA-1,kokia,0.0151,0.0912,0.1659
340,maker-SEQ_125951-augustus-gene-3.58-mRNA-1,kokia,snap_masked-SEQ_558-processed-gene-89.38-mRNA-1,kirkii,0.0052,0.0438,0.1194
345,Gorai.001G009700.1,Grai,genemark-SEQ_558-processed-gene-89.19-mRNA-1,kirkii,0.0548,0.1968,0.2784
348,Gorai.001G009700.1,Grai,maker-SEQ_125951-augustus-gene-3.57-mRNA-1,kokia,0.0523,0.1231,0.4245
349,genemark-SEQ_558-processed-gene-89.19-mRNA-1,kirkii,maker-SEQ_125951-augustus-gene-3.57-mRNA-1,kokia,0.0045,0.0237,0.1908
354,Gorai.001G009900.1,Grai,genemark-SEQ_558-processed-gene-89.20-mRNA-1,kirkii,0.0051,0.1029,0.05
357,Gorai.001G009900.1,Grai,augustus_masked-SEQ_125951-processed-gene-3.47-mRNA-1,kokia,0.0037,0.097,0.0381
358,augustus_masked-SEQ_125951-processed-gene-3.47-mRNA-1,kokia,genemark-SEQ_558-processed-gene-89.20-mRNA-1,kirkii,0.0051,0.0401,0.1264
363,Gorai.001G010000.1,Grai,maker-SEQ_558-augustus-gene-89.67-mRNA-1,kirkii,0.0189,0.1002,0.1884
366,Gorai.001G010000.1,Grai,genemark-SEQ_125951-processed-gene-3.21-mRNA-1,kokia,0.0112,0.096,0.1165
367,genemark-SEQ_125951-processed-gene-3.21-mRNA-1,kokia,maker-SEQ_558-augustus-gene-89.67-mRNA-1,kirkii,0.0122,0.0833,0.1469
372,Gorai.001G010200.1,Grai,maker-SEQ_558-augustus-gene-89.69-mRNA-1,kirkii,0.0041,0.0862,0.0474
375,Gorai.001G010200.1,Grai,maker-SEQ_125951-augustus-gene-3.61-mRNA-1,kokia,0.0018,0.094,0.0197
376,maker-SEQ_125951-augustus-gene-3.61-mRNA-1,kokia,maker-SEQ_558-augustus-gene-89.69-mRNA-1,kirkii,0.002,0.118,0.0165
381,Gorai.001G010800.1,Grai,maker-SEQ_558-augustus-gene-90.58-mRNA-1,kirkii,0.0124,0.0747,0.1667
384,Gorai.001G010800.1,Grai,maker-SEQ_125951-augustus-gene-3.53-mRNA-1,kokia,0.0148,0.0567,0.2609
385,maker-SEQ_125951-augustus-gene-3.53-mRNA-1,kokia,maker-SEQ_558-augustus-gene-90.58-mRNA-1,kirkii,0.0043,0.0552,0.0785
390,Gorai.001G010900.1,Grai,genemark-SEQ_558-processed-gene-90.14-mRNA-1,kirkii,0.018,0.0922,0.1958
393,Gorai.001G010900.1,Grai,augustus_masked-SEQ_125951-processed-gene-2.28-mRNA-1,kokia,0.0233,0.1401,0.166
394,augustus_masked-SEQ_125951-processed-gene-2.28-mRNA-1,kokia,genemark-SEQ_558-processed-gene-90.14-mRNA-1,kirkii,0.0181,0.1029,0.1757
399,Gorai.001G011100.1,Grai,maker-SEQ_558-augustus-gene-90.55-mRNA-1,kirkii,0.0031,0.0876,0.0354
402,Gorai.001G011100.1,Grai,maker-SEQ_125951-augustus-gene-2.36-mRNA-1,kokia,0.0061,0.1,0.0613
403,maker-SEQ_125951-augustus-gene-2.36-mRNA-1,kokia,maker-SEQ_558-augustus-gene-90.55-mRNA-1,kirkii,0.0029,0.0427,0.067
408,Gorai.001G011300.1,Grai,maker-SEQ_558-snap-gene-90.73-mRNA-1,kirkii,0.0039,0.0763,0.0508
411,Gorai.001G011300.1,Grai,maker-SEQ_125951-augustus-gene-2.33-mRNA-1,kokia,0.0058,0.1083,0.0534
412,maker-SEQ_125951-augustus-gene-2.33-mRNA-1,kokia,maker-SEQ_558-snap-gene-90.73-mRNA-1,kirkii,0.0055,0.083,0.0668
417,Gorai.001G012000.1,Grai,augustus_masked-SEQ_558-processed-gene-90.12-mRNA-1,kirkii,0.0091,0.085,0.1072
420,Gorai.001G012000.1,Grai,maker-SEQ_125951-augustus-gene-2.30-mRNA-1,kokia,0.0051,0.1315,0.0389
421,augustus_masked-SEQ_558-processed-gene-90.12-mRNA-1,kirkii,maker-SEQ_125951-augustus-gene-2.30-mRNA-1,kokia,0.0062,0.1031,0.06
426,Gorai.001G012300.1,Grai,maker-SEQ_558-augustus-gene-91.49-mRNA-1,kirkii,0.0134,0.083,0.1619
429,Gorai.001G012300.1,Grai,maker-SEQ_125951-augustus-gene-1.35-mRNA-1,kokia,0.0172,0.0951,0.1805
430,maker-SEQ_125951-augustus-gene-1.35-mRNA-1,kokia,maker-SEQ_558-augustus-gene-91.49-mRNA-1,kirkii,0.0095,0.0417,0.2266
435,Gorai.001G012700.1,Grai,maker-SEQ_558-augustus-gene-91.51-mRNA-1,kirkii,0.0206,0.0946,0.2172
438,Gorai.001G012700.1,Grai,genemark-SEQ_125951-processed-gene-1.9-mRNA-1,kokia,0.0307,0.1116,0.2754
439,genemark-SEQ_125951-processed-gene-1.9-mRNA-1,kokia,maker-SEQ_558-augustus-gene-91.51-mRNA-1,kirkii,0.018,0.035,0.5138
444,Gorai.001G012800.1,Grai,maker-SEQ_558-snap-gene-91.66-mRNA-1,kirkii,0.0262,0.2903,0.0901
447,Gorai.001G012800.1,Grai,maker-SEQ_125951-augustus-gene-1.29-mRNA-1,kokia,0.0066,0.0937,0.0701
448,maker-SEQ_125951-augustus-gene-1.29-mRNA-1,kokia,maker-SEQ_558-snap-gene-91.66-mRNA-1,kirkii,0.0065,0.149,0.0439
453,Gorai.001G012900.1,Grai,maker-SEQ_558-augustus-gene-91.57-mRNA-1,kirkii,0.016,0.1186,0.1353
456,Gorai.001G012900.1,Grai,maker-SEQ_125951-augustus-gene-1.28-mRNA-1,kokia,0.0178,0.0873,0.2039
457,maker-SEQ_125951-augustus-gene-1.28-mRNA-1,kokia,maker-SEQ_558-augustus-gene-91.57-mRNA-1,kirkii,0.0093,0.0931,0.1001
462,Gorai.001G013000.1,Grai,maker-SEQ_558-augustus-gene-91.52-mRNA-1,kirkii,0.0034,0.0917,0.0367
465,Gorai.001G013000.1,Grai,maker-SEQ_125951-augustus-gene-1.33-mRNA-1,kokia,0.0018,0.1055,0.0166
466,maker-SEQ_125951-augustus-gene-1.33-mRNA-1,kokia,maker-SEQ_558-augustus-gene-91.52-mRNA-1,kirkii,0.0037,0.0267,0.139
471,Gorai.001G013100.1,Grai,maker-SEQ_558-augustus-gene-91.53-mRNA-1,kirkii,0.0048,0.0542,0.089
474,Gorai.001G013100.1,Grai,genemark-SEQ_125951-processed-gene-1.7-mRNA-1,kokia,0.0127,0.1386,0.0917
475,genemark-SEQ_125951-processed-gene-1.7-mRNA-1,kokia,maker-SEQ_558-augustus-gene-91.53-mRNA-1,kirkii,0.0185,0.1338,0.1386
480,Gorai.001G013500.1,Grai,maker-SEQ_558-augustus-gene-92.59-mRNA-1,kirkii,0.0076,0.1099,0.0693
483,Gorai.001G013500.1,Grai,maker-SEQ_125951-augustus-gene-0.34-mRNA-1,kokia,0.0081,0.1031,0.0789
484,maker-SEQ_125951-augustus-gene-0.34-mRNA-1,kokia,maker-SEQ_558-augustus-gene-92.59-mRNA-1,kirkii,0.007,0.0536,0.1313
489,Gorai.001G013600.1,Grai,genemark-SEQ_558-processed-gene-92.25-mRNA-1,kirkii,0.0074,0.087,0.085
492,Gorai.001G013600.1,Grai,maker-SEQ_125951-augustus-gene-0.29-mRNA-1,kokia,0.0101,0.1064,0.0951
493,genemark-SEQ_558-processed-gene-92.25-mRNA-1,kirkii,maker-SEQ_125951-augustus-gene-0.29-mRNA-1,kokia,0.0038,0.0495,0.076
498,Gorai.001G013700.1,Grai,maker-SEQ_558-augustus-gene-92.66-mRNA-1,kirkii,0.0095,0.1101,0.0861
501,Gorai.001G013700.1,Grai,maker-SEQ_125951-augustus-gene-0.28-mRNA-1,kokia,0.0073,0.0819,0.0891
502,maker-SEQ_125951-augustus-gene-0.28-mRNA-1,kokia,maker-SEQ_558-augustus-gene-92.66-mRNA-1,kirkii,0.0043,0.0792,0.0543
507,Gorai.001G013800.1,Grai,genemark-SEQ_558-processed-gene-92.20-mRNA-1,kirkii,0.0102,0.1684,0.0608
510,Gorai.001G013800.1,Grai,maker-SEQ_125951-augustus-gene-0.33-mRNA-1,kokia,0.0219,0.2534,0.0866
511,genemark-SEQ_558-processed-gene-92.20-mRNA-1,kirkii,maker-SEQ_125951-augustus-gene-0.33-mRNA-1,kokia,0.0397,0.2902,0.1368
516,Gorai.001G013900.1,Grai,maker-SEQ_558-augustus-gene-92.67-mRNA-1,kirkii,0.011,0.0816,0.1351
519,Gorai.001G013900.1,Grai,augustus_masked-SEQ_125951-processed-gene-0.16-mRNA-1,kokia,0.0075,0.0962,0.0777
520,augustus_masked-SEQ_125951-processed-gene-0.16-mRNA-1,kokia,maker-SEQ_558-augustus-gene-92.67-mRNA-1,kirkii,0.0044,0.028,0.1587
525,Gorai.001G014200.1,Grai,maker-SEQ_558-augustus-gene-92.68-mRNA-1,kirkii,0.0145,0.1302,0.1114
528,Gorai.001G014200.1,Grai,maker-SEQ_125951-augustus-gene-0.26-mRNA-1,kokia,0.0136,0.1561,0.0869
529,maker-SEQ_125951-augustus-gene-0.26-mRNA-1,kokia,maker-SEQ_558-augustus-gene-92.68-mRNA-1,kirkii,0.0068,0.1173,0.0581
534,Gorai.001G015200.1,Grai,augustus_masked-SEQ_558-processed-gene-93.7-mRNA-1,kirkii,0.0152,0.1079,0.1406
537,Gorai.001G015200.1,Grai,maker-SEQ_125996-augustus-gene-0.35-mRNA-1,kokia,0.0112,0.1319,0.085
538,augustus_masked-SEQ_558-processed-gene-93.7-mRNA-1,kirkii,maker-SEQ_125996-augustus-gene-0.35-mRNA-1,kokia,0.0094,0.0262,0.3599
543,Gorai.001G015300.1,Grai,augustus_masked-SEQ_558-processed-gene-93.8-mRNA-1,kirkii,0.0035,0.0655,0.0538
546,Gorai.001G015300.1,Grai,maker-SEQ_125996-augustus-gene-0.34-mRNA-1,kokia,0.0031,0.0706,0.0445
547,augustus_masked-SEQ_558-processed-gene-93.8-mRNA-1,kirkii,maker-SEQ_125996-augustus-gene-0.34-mRNA-1,kokia,0.0032,0.0222,0.1448
552,Gorai.001G015500.1,Grai,maker-SEQ_558-augustus-gene-93.54-mRNA-1,kirkii,0.0118,0.0646,0.1822
555,Gorai.001G015500.1,Grai,maker-SEQ_125996-augustus-gene-0.32-mRNA-1,kokia,0.0058,0.0944,0.0616
556,maker-SEQ_125996-augustus-gene-0.32-mRNA-1,kokia,maker-SEQ_558-augustus-gene-93.54-mRNA-1,kirkii,0.0038,0.0331,0.1137
561,Gorai.001G016300.1,Grai,maker-SEQ_558-snap-gene-94.78-mRNA-1,kirkii,0.0174,0.0862,0.2023
564,Gorai.001G016300.1,Grai,augustus_masked-SEQ_130241-processed-gene-0.27-mRNA-1,kokia,0.0198,0.1,0.1982
565,augustus_masked-SEQ_130241-processed-gene-0.27-mRNA-1,kokia,maker-SEQ_558-snap-gene-94.78-mRNA-1,kirkii,0.005,0.0348,0.144
570,Gorai.001G016400.1,Grai,maker-SEQ_558-augustus-gene-94.65-mRNA-1,kirkii,0.0092,0.0916,0.1007
573,Gorai.001G016400.1,Grai,maker-SEQ_130241-augustus-gene-0.43-mRNA-1,kokia,0.0001,0.0757,0.001
574,maker-SEQ_130241-augustus-gene-0.43-mRNA-1,kokia,maker-SEQ_558-augustus-gene-94.65-mRNA-1,kirkii,0.0018,0.0548,0.0336
579,Gorai.001G016600.1,Grai,maker-SEQ_558-augustus-gene-94.60-mRNA-1,kirkii,0.0047,0.0597,0.0789
