,qseqid,sseqid,dN,dS,dN/dS
37,Thecc1EG000078t1,Gorai.001G198500.1,0.0537,0.3937,0.1363
38,Thecc1EG000079t1,Gorai.003G003000.1,0.0317,0.4739,0.067
39,Thecc1EG000080t1,Gorai.001G198400.1,0.0257,0.452,0.0568
40,Thecc1EG000081t1,Gorai.011G097900.1,0.0279,0.3136,0.0888
41,Thecc1EG000082t1,Gorai.003G003100.1,0.0255,0.3264,0.0782
42,Thecc1EG000085t1,Gorai.003G003300.1,0.0407,0.6235,0.0652
43,Thecc1EG000092t1,Gorai.003G003700.1,0.0639,0.7963,0.0802
44,Thecc1EG000096t1,Gorai.010G058900.1,0.0261,0.4992,0.0522
45,Thecc1EG000097t1,Gorai.003G003900.1,0.0979,0.767,0.1276
46,Thecc1EG000098t1,Gorai.003G004000.1,0.0171,0.5549,0.0308
47,Thecc1EG000099t1,Gorai.003G004100.1,0.0799,0.7971,0.1003
48,Thecc1EG000100t1,Gorai.007G189500.1,0.07,0.5308,0.1318
49,Thecc1EG000102t1,Gorai.003G004300.1,0.0583,0.759,0.0768
50,Thecc1EG000107t1,Gorai.007G189800.1,0.0246,0.5026,0.0489
51,Thecc1EG000108t1,Gorai.007G189900.1,0.0249,0.3112,0.0799
52,Thecc1EG000109t1,Gorai.007G190000.1,0.043,0.5593,0.0769
53,Thecc1EG000110t1,Gorai.003G004700.1,0.0355,0.503,0.0705
54,Thecc1EG000111t1,Gorai.007G190100.1,0.027,0.3499,0.077
55,Thecc1EG000113t1,Gorai.003G004900.1,0.0564,0.3551,0.1589
56,Thecc1EG000114t1,Gorai.008G061400.1,0.024,0.4794,0.05
57,Thecc1EG000115t1,Gorai.003G005000.1,0.055,0.3946,0.1393
58,Thecc1EG000116t1,Gorai.007G190200.1,0.0272,0.3278,0.0831
59,Thecc1EG000121t1,Gorai.008G061500.1,0.0286,0.4949,0.0579
60,Thecc1EG000122t1,Gorai.003G005200.1,0.0633,0.5788,0.1094
61,Thecc1EG000124t1,Gorai.003G005300.1,0.0326,0.8085,0.0403
62,Thecc1EG000125t1,Gorai.008G061600.1,0.039,0.3729,0.1045
63,Thecc1EG000127t1,Gorai.007G190500.1,0.006,0.3418,0.0177
64,Thecc1EG000130t1,Gorai.003G005800.1,0.0376,0.8379,0.0448
65,Thecc1EG000131t1,Gorai.003G005900.1,0.0372,0.3095,0.1202
66,Thecc1EG000133t1,Gorai.008G061900.1,0.0135,0.3113,0.0434
67,Thecc1EG000134t1,Gorai.008G062100.1,0.0163,0.3467,0.047
68,Thecc1EG000135t1,Gorai.007G190800.1,0.0503,0.5974,0.0843
69,Thecc1EG000136t1,Gorai.003G006300.1,0.0345,0.5684,0.0606
70,Thecc1EG000140t1,Gorai.007G191000.1,0.0207,0.359,0.0576
71,Thecc1EG000141t1,Gorai.007G191100.1,0.028,0.5442,0.0514
72,Thecc1EG000142t1,Gorai.003G006400.1,0.0237,0.4788,0.0495
73,Thecc1EG000144t1,Gorai.007G191400.1,0.0443,0.3799,0.1166
74,Thecc1EG000146t1,Gorai.007G047700.1,0.0275,0.3719,0.074
75,Thecc1EG000147t1,Gorai.003G006700.1,0.0424,0.4622,0.0918
76,Thecc1EG000149t1,Gorai.007G191700.1,0.0477,0.4429,0.1078
77,Thecc1EG000152t1,Gorai.007G191800.1,0.0495,0.644,0.0769
78,Thecc1EG000153t1,Gorai.003G007100.1,0.088,1.2295,0.0715
79,Thecc1EG000154t1,Gorai.007G191900.1,0.031,0.3385,0.0915
80,Thecc1EG000158t1,Gorai.007G192000.1,0.0212,0.3485,0.0609
81,Thecc1EG000159t1,Gorai.007G192100.1,0.0291,0.3638,0.0801
82,Thecc1EG000160t1,Gorai.003G007600.1,0.0431,1.2537,0.0344
83,Thecc1EG000163t1,Gorai.007G049400.1,0.011,0.2824,0.0389
84,Thecc1EG000167t1,Gorai.008G062200.1,0.0295,0.4372,0.0675
85,Thecc1EG000169t1,Gorai.011G098200.1,0.04,0.4817,0.083
86,Thecc1EG000170t1,Gorai.007G049300.1,0.0244,0.3798,0.0641
87,Thecc1EG000175t1,Gorai.007G193000.1,0.0326,0.4119,0.0792
88,Thecc1EG000177t1,Gorai.007G049200.1,0.0316,0.3462,0.0913
89,Thecc1EG000181t1,Gorai.003G008500.1,0.062,0.5209,0.1191
90,Thecc1EG000183t1,Gorai.003G008600.1,0.0346,0.5881,0.0589
91,Thecc1EG000185t1,Gorai.003G008700.1,0.0227,0.333,0.0683
92,Thecc1EG000186t1,Gorai.007G193200.1,0.0705,0.4346,0.1621
93,Thecc1EG000187t1,Gorai.007G049000.1,0.0628,0.5457,0.1152
94,Thecc1EG000188t1,Gorai.007G193300.1,0.0446,0.549,0.0812
95,Thecc1EG000189t1,Gorai.003G008900.1,0.0306,0.5176,0.0591
96,Thecc1EG000190t1,Gorai.007G049100.1,0.0213,0.3816,0.0559
97,Thecc1EG000191t1,Gorai.003G009000.1,0.0466,0.9525,0.0489
98,Thecc1EG000192t1,Gorai.003G009100.1,0.0343,0.4723,0.0726
99,Thecc1EG000193t1,Gorai.008G062300.1,0.0222,0.5273,0.0421
100,Thecc1EG000197t1,Gorai.007G193600.1,0.0363,0.4406,0.0823
101,Thecc1EG000198t1,Gorai.008G062500.1,0.0381,0.7191,0.053
102,Thecc1EG000199t1,Gorai.007G193800.1,0.0208,0.4407,0.0471
103,Thecc1EG000200t1,Gorai.007G193900.1,0.0191,0.458,0.0417
104,Thecc1EG000202t1,Gorai.007G194200.1,0.0707,0.6379,0.1109
105,Thecc1EG000203t1,Gorai.007G194300.1,0.0343,0.4036,0.0849
106,Thecc1EG000204t1,Gorai.007G194400.1,0.0539,0.3895,0.1385
107,Thecc1EG000206t1,Gorai.007G194500.1,0.0176,0.3389,0.052
108,Thecc1EG000209t1,Gorai.008G062900.1,0.0203,0.5566,0.0365
109,Thecc1EG000213t1,Gorai.007G195100.1,0.0131,0.3221,0.0407
110,Thecc1EG000214t1,Gorai.003G010000.1,0.0107,0.4632,0.0231
111,Thecc1EG000215t1,Gorai.008G063200.1,0.0238,0.4394,0.0541
112,Thecc1EG000216t1,Gorai.007G195400.1,0.0287,0.3626,0.0791
113,Thecc1EG000217t1,Gorai.003G010100.1,0.0558,0.9592,0.0582
114,Thecc1EG000219t1,Gorai.003G010200.1,0.0438,0.6597,0.0664
115,Thecc1EG000220t1,Gorai.007G195600.1,0.0524,0.6063,0.0864
116,Thecc1EG000221t1,Gorai.007G195700.1,0.0403,0.4233,0.0952
117,Thecc1EG000222t1,Gorai.003G010300.1,0.0214,0.4328,0.0494
118,Thecc1EG046674t1,Gorai.007G048300.1,0.048,0.4347,0.1104
119,Thecc1EG000227t1,Gorai.008G063300.1,0.0214,0.4744,0.0451
120,Thecc1EG000228t1,Gorai.007G048100.1,0.0121,0.3504,0.0345
121,Thecc1EG000229t1,Gorai.007G196000.1,0.0581,0.5284,0.11
122,Thecc1EG000230t1,Gorai.007G196100.1,0.0153,0.4168,0.0368
123,Thecc1EG000231t1,Gorai.003G010600.1,0.0354,0.4292,0.0825
124,Thecc1EG000232t1,Gorai.007G196200.1,0.0278,0.4674,0.0596
125,Thecc1EG000233t1,Gorai.007G196300.1,0.0313,0.5699,0.0549
126,Thecc1EG000235t1,Gorai.007G196400.1,0.0373,0.6076,0.0614
127,Thecc1EG000239t1,Gorai.007G196600.1,0.0986,0.7783,0.1267
128,Thecc1EG000240t1,Gorai.007G196700.1,0.0257,0.3887,0.0662
129,Thecc1EG000241t1,Gorai.008G063800.1,0.0344,0.327,0.1051
130,Thecc1EG000245t1,Gorai.007G197100.1,0.0353,0.3192,0.1105
131,Thecc1EG000248t1,Gorai.008G064300.1,0.018,0.2862,0.0629
132,Thecc1EG000251t1,Gorai.008G064400.1,0.0326,0.5198,0.0627
133,Thecc1EG000252t1,Gorai.003G011300.1,0.0089,0.4964,0.018
134,Thecc1EG000253t1,Gorai.007G197200.1,0.053,0.4847,0.1093
135,Thecc1EG000254t1,Gorai.007G197400.1,0.0447,0.3596,0.1242
136,Thecc1EG000258t1,Gorai.011G099800.1,0.0317,0.8537,0.0372
137,Thecc1EG000262t1,Gorai.007G197900.1,0.0237,0.4829,0.0491
138,Thecc1EG000263t1,Gorai.008G064700.1,0.0444,0.4546,0.0977
139,Thecc1EG000264t1,Gorai.008G064800.1,0.032,0.4662,0.0686
140,Thecc1EG000265t1,Gorai.007G198000.1,0.0428,0.3858,0.1111
141,Thecc1EG000268t1,Gorai.003G011600.1,0.0569,0.6141,0.0927
142,Thecc1EG000269t1,Gorai.003G011700.1,0.0471,1.1894,0.0396
143,Thecc1EG000271t1,Gorai.007G049800.1,0.051,0.6994,0.0729
144,Thecc1EG000274t1,Gorai.007G198100.1,0.0375,0.3744,0.1001
145,Thecc1EG046675t1,Gorai.008G065200.1,0.0187,0.3166,0.0591
146,Thecc1EG046676t1,Gorai.007G198400.1,0.0419,0.3992,0.105
147,Thecc1EG000277t1,Gorai.011G100000.1,0.0382,0.555,0.0687
148,Thecc1EG000278t1,Gorai.011G100100.1,0.0402,0.453,0.0888
149,Thecc1EG000280t1,Gorai.007G198900.1,0.0154,0.3621,0.0426
150,Thecc1EG000283t1,Gorai.003G012000.1,0.0457,0.7982,0.0573
151,Thecc1EG000284t1,Gorai.007G199000.1,0.0688,0.3721,0.1848
152,Thecc1EG000287t1,Gorai.007G199100.1,0.0319,0.4678,0.0682
153,Thecc1EG000288t1,Gorai.011G100300.1,0.0291,0.4691,0.062
154,Thecc1EG000289t1,Gorai.011G100400.1,0.0306,0.2891,0.106
155,Thecc1EG000291t1,Gorai.007G199500.1,0.0454,0.3574,0.1269
156,Thecc1EG000292t1,Gorai.003G012300.1,0.0344,0.7117,0.0484
157,Thecc1EG000293t1,Gorai.011G100500.1,0.0254,0.4184,0.0606
158,Thecc1EG000294t1,Gorai.007G199600.1,0.0248,0.2656,0.0933
159,Thecc1EG000295t1,Gorai.007G199700.1,0.0258,0.379,0.0682
160,Thecc1EG000296t1,Gorai.003G012500.1,0.0426,0.3312,0.1286
161,Thecc1EG000299t1,Gorai.003G012700.1,0.0362,0.4328,0.0837
162,Thecc1EG000300t1,Gorai.007G199900.1,0.0808,0.7416,0.1089
163,Thecc1EG000301t1,Gorai.008G065000.1,0.0397,0.7163,0.0554
164,Thecc1EG000302t1,Gorai.007G200200.1,0.0466,0.5869,0.0795
165,Thecc1EG000303t1,Gorai.007G200500.1,0.0419,0.3866,0.1083
166,Thecc1EG000306t1,Gorai.008G065500.1,0.037,0.3877,0.0955
167,Thecc1EG000307t1,Gorai.003G013000.1,0.0627,0.778,0.0806
168,Thecc1EG000308t1,Gorai.007G200900.1,0.0257,0.2748,0.0936
169,Thecc1EG000309t1,Gorai.008G065600.1,0.0439,0.5327,0.0823
170,Thecc1EG000310t1,Gorai.007G201000.1,0.0388,0.5227,0.0742
171,Thecc1EG000316t1,Gorai.003G013100.1,0.0522,1.062,0.0491
172,Thecc1EG000317t1,Gorai.003G013200.1,0.0647,1.2696,0.0509
173,Thecc1EG000322t1,Gorai.007G201200.1,0.0312,0.2866,0.109
174,Thecc1EG000323t1,Gorai.008G065800.1,0.0423,2.0778,0.0204
175,Thecc1EG000336t1,Gorai.008G066300.1,0.0344,0.3654,0.0943
176,Thecc1EG000337t1,Gorai.007G201500.1,0.0587,0.5115,0.1147
177,Thecc1EG000339t1,Gorai.007G201600.1,0.0399,0.4653,0.0858
178,Thecc1EG000341t1,Gorai.011G101000.1,0.0208,0.3894,0.0534
179,Thecc1EG000342t1,Gorai.008G066700.1,0.0452,0.4011,0.1127
180,Thecc1EG000345t1,Gorai.007G201800.1,0.0488,0.3368,0.1448
181,Thecc1EG000349t1,Gorai.003G013700.1,0.0462,0.5138,0.09
182,Thecc1EG046677t1,Gorai.008G067100.1,0.0257,0.264,0.0975
183,Thecc1EG000351t1,Gorai.003G013800.1,0.0293,0.457,0.0641
184,Thecc1EG000352t1,Gorai.011G101200.1,0.0547,0.4313,0.1269
185,Thecc1EG000354t1,Gorai.007G050200.1,0.0576,0.664,0.0868
186,Thecc1EG000355t1,Gorai.008G067300.1,0.0467,0.4206,0.1111
187,Thecc1EG000356t1,Gorai.007G202000.1,0.0194,0.3193,0.0609
188,Thecc1EG000357t1,Gorai.011G101300.1,0.0204,0.469,0.0436
189,Thecc1EG000358t1,Gorai.007G050300.1,0.0188,0.382,0.0492
190,Thecc1EG000360t1,Gorai.003G013900.1,0.0023,0.2954,0.0079
191,Thecc1EG000362t1,Gorai.008G067500.1,0.0388,0.4056,0.0956
192,Thecc1EG000364t1,Gorai.003G014000.1,0.0588,0.581,0.1012
193,Thecc1EG000369t1,Gorai.007G202400.1,0.0221,0.3247,0.0679
194,Thecc1EG000370t1,Gorai.008G067600.1,0.1009,69.3554,0.0015
195,Thecc1EG000371t1,Gorai.007G202500.1,0.0572,0.6373,0.0897
196,Thecc1EG000372t1,Gorai.003G014200.1,0.0392,0.7107,0.0551
197,Thecc1EG000373t1,Gorai.007G050600.1,0.049,0.3953,0.1239
198,Thecc1EG000376t1,Gorai.007G202900.1,0.0362,0.3771,0.096
199,Thecc1EG000377t1,Gorai.007G203100.1,0.0268,0.2819,0.0949
200,Thecc1EG000386t1,Gorai.003G014700.1,0.0233,0.4621,0.0505
201,Thecc1EG000387t1,Gorai.003G014800.1,0.0219,0.313,0.0699
202,Thecc1EG000388t1,Gorai.003G014900.1,0.0384,0.2814,0.1366
203,Thecc1EG000390t1,Gorai.003G015000.1,0.0456,0.7942,0.0574
204,Thecc1EG000392t1,Gorai.003G015200.1,0.0088,0.4728,0.0187
205,Thecc1EG000398t1,Gorai.011G102200.1,0.0968,0.6438,0.1504
206,Thecc1EG000399t1,Gorai.008G068100.1,0.0333,0.468,0.0711
207,Thecc1EG000401t1,Gorai.003G015500.1,0.0084,0.3177,0.0266
208,Thecc1EG000402t1,Gorai.007G203700.1,0.0217,0.4344,0.05
209,Thecc1EG000403t1,Gorai.011G102100.1,0.021,0.2782,0.0753
210,Thecc1EG000405t1,Gorai.008G068400.1,0.0225,0.3527,0.0639
211,Thecc1EG000406t1,Gorai.007G050900.1,0.0296,0.4098,0.0723
212,Thecc1EG000407t1,Gorai.011G101900.1,0.0174,0.3724,0.0466
213,Thecc1EG000409t1,Gorai.007G204000.1,0.0668,0.5954,0.1122
214,Thecc1EG000410t1,Gorai.007G204100.1,0.0791,0.6029,0.1313
215,Thecc1EG000412t1,Gorai.007G204200.1,0.0604,0.4528,0.1334
216,Thecc1EG000413t1,Gorai.003G015700.1,0.0339,0.7582,0.0447
217,Thecc1EG000415t1,Gorai.003G015800.1,0.0287,1.8023,0.0159
218,Thecc1EG000416t1,Gorai.007G204500.1,0.0218,0.4041,0.054
219,Thecc1EG000420t1,Gorai.008G068600.1,0.0244,0.6237,0.0392
220,Thecc1EG000421t1,Gorai.007G051000.1,0.0583,0.8593,0.0678
221,Thecc1EG000423t1,Gorai.003G016100.1,0.0475,1.0003,0.0474
222,Thecc1EG000425t1,Gorai.011G102300.1,0.0148,0.3215,0.0459
223,Thecc1EG000426t1,Gorai.008G068700.1,0.0229,0.4857,0.0471
224,Thecc1EG000427t1,Gorai.008G068800.1,0.026,0.4069,0.0638
225,Thecc1EG000429t1,Gorai.007G205300.1,0.036,0.3856,0.0933
226,Thecc1EG000430t1,Gorai.007G205400.1,0.0384,0.5774,0.0664
227,Thecc1EG000431t1,Gorai.007G205500.1,0.0473,0.4168,0.1135
228,Thecc1EG000432t1,Gorai.007G205600.1,0.0863,0.7336,0.1176
229,Thecc1EG000435t1,Gorai.003G016500.1,0.0423,1.2018,0.0352
230,Thecc1EG000436t1,Gorai.008G068900.1,0.043,0.5301,0.0812
231,Thecc1EG000437t1,Gorai.007G205800.1,0.0522,0.4536,0.1151
232,Thecc1EG000438t1,Gorai.007G051100.1,0.0506,0.6642,0.0762
233,Thecc1EG000439t1,Gorai.003G016700.1,0.022,0.5174,0.0424
234,Thecc1EG000440t1,Gorai.011G102600.1,0.0274,0.3565,0.0769
235,Thecc1EG000442t1,Gorai.003G016800.1,0.0748,0.7982,0.0937
236,Thecc1EG000443t1,Gorai.008G069400.1,0.0615,0.6023,0.1022
237,Thecc1EG000445t1,Gorai.008G069500.1,0.0582,0.5507,0.1056
238,Thecc1EG000446t1,Gorai.008G069600.1,0.0691,0.6524,0.106
239,Thecc1EG000449t1,Gorai.005G042500.1,0.0676,0.9398,0.0719
240,Thecc1EG000452t1,Gorai.007G206200.1,0.0274,0.4217,0.0649
241,Thecc1EG000456t1,Gorai.008G069800.1,0.0576,0.5174,0.1113
242,Thecc1EG000458t1,Gorai.007G051500.1,0.0288,0.3979,0.0723
243,Thecc1EG000461t1,Gorai.007G206800.1,0.0519,0.6068,0.0856
244,Thecc1EG000464t1,Gorai.008G069900.1,0.0083,0.6137,0.0135
245,Thecc1EG000466t1,Gorai.003G018000.1,0.0329,0.5915,0.0556
246,Thecc1EG000468t1,Gorai.008G070300.1,0.0524,0.2894,0.1811
247,Thecc1EG000470t1,Gorai.007G051700.1,0.0461,0.5664,0.0813
248,Thecc1EG000471t1,Gorai.008G070400.1,0.0467,0.4557,0.1025
249,Thecc1EG000472t1,Gorai.007G051800.1,0.0477,0.4776,0.1
250,Thecc1EG000473t1,Gorai.008G070500.1,0.0333,0.2951,0.1128
251,Thecc1EG000474t1,Gorai.008G070600.1,0.0238,0.4045,0.0589
252,Thecc1EG000479t1,Gorai.007G207200.1,0.019,0.2964,0.064
253,Thecc1EG000481t1,Gorai.003G018200.1,0.0235,0.3948,0.0594
254,Thecc1EG000485t1,Gorai.003G018700.1,0.0294,0.3807,0.0773
255,Thecc1EG000486t1,Gorai.007G207300.1,0.0364,0.3749,0.097
256,Thecc1EG000489t1,Gorai.007G207400.1,0.069,0.4039,0.1709
257,Thecc1EG000491t1,Gorai.007G207500.1,0.0501,0.624,0.0803
258,Thecc1EG000495t1,Gorai.003G019100.1,0.016,0.9224,0.0173
259,Thecc1EG000498t1,Gorai.007G208000.1,0.0159,0.3431,0.0463
260,Thecc1EG000501t1,Gorai.003G019200.1,0.0313,0.5399,0.058
261,Thecc1EG000502t1,Gorai.003G019300.1,0.0406,0.5275,0.0769
262,Thecc1EG000503t1,Gorai.007G052200.1,0.0394,0.3898,0.1012
263,Thecc1EG000504t1,Gorai.007G208300.1,0.0451,0.4702,0.096
264,Thecc1EG000506t1,Gorai.003G019600.1,0.0471,0.4707,0.1
265,Thecc1EG000507t1,Gorai.007G052300.1,0.0408,0.4831,0.0845
266,Thecc1EG000508t1,Gorai.007G208400.1,0.0432,0.3485,0.1239
267,Thecc1EG000509t1,Gorai.007G208500.1,0.0444,0.6149,0.0722
268,Thecc1EG000510t1,Gorai.003G019800.1,0.0209,0.4488,0.0466
269,Thecc1EG000512t1,Gorai.003G019900.1,0.0383,0.4599,0.0834
270,Thecc1EG000513t1,Gorai.007G208600.1,0.0966,0.7545,0.128
271,Thecc1EG000521t1,Gorai.007G052400.1,0.0222,0.3089,0.0719
272,Thecc1EG000523t1,Gorai.003G020900.1,0.019,0.3378,0.0562
273,Thecc1EG000524t1,Gorai.007G209400.1,0.044,0.4994,0.0882
274,Thecc1EG000525t1,Gorai.008G071700.1,0.0278,0.7347,0.0378
275,Thecc1EG000526t1,Gorai.003G021000.1,0.0428,0.6188,0.0692
276,Thecc1EG000528t1,Gorai.008G072400.1,0.0193,0.352,0.0548
277,Thecc1EG000530t1,Gorai.008G072600.1,0.0453,0.4586,0.0989
278,Thecc1EG000535t1,Gorai.003G021100.1,0.0521,0.6841,0.0762
279,Thecc1EG000547t1,Gorai.007G209600.1,0.0482,0.4327,0.1114
280,Thecc1EG000548t1,Gorai.008G072800.1,0.0203,0.3682,0.0552
281,Thecc1EG000549t1,Gorai.008G072900.1,0.0318,0.4631,0.0687
282,Thecc1EG000550t1,Gorai.008G073000.1,0.0404,0.4778,0.0845
283,Thecc1EG000551t1,Gorai.007G209900.1,0.0215,0.3901,0.0552
284,Thecc1EG000552t1,Gorai.011G104500.1,0.0932,0.6439,0.1447
285,Thecc1EG000553t1,Gorai.003G021200.1,0.0852,0.7535,0.1131
286,Thecc1EG000554t1,Gorai.008G073100.1,0.0261,0.3773,0.0691
287,Thecc1EG000555t1,Gorai.007G210000.1,0.0657,0.4844,0.1356
288,Thecc1EG000557t1,Gorai.007G210300.1,0.0332,0.39,0.085
289,Thecc1EG000558t1,Gorai.008G073300.1,0.039,0.4622,0.0843
290,Thecc1EG000559t1,Gorai.007G210400.1,0.0356,0.3754,0.0949
291,Thecc1EG000561t1,Gorai.008G073500.1,0.0456,0.4427,0.103
292,Thecc1EG000562t1,Gorai.007G053300.1,0.037,0.4276,0.0864
293,Thecc1EG000564t1,Gorai.008G073800.1,0.0264,0.4055,0.0651
294,Thecc1EG000563t1,Gorai.007G053400.1,0.0367,0.5246,0.0699
295,Thecc1EG000567t1,Gorai.008G074000.1,0.0771,0.4585,0.1682
296,Thecc1EG000570t1,Gorai.007G210600.1,0.0566,0.4811,0.1176
297,Thecc1EG000571t1,Gorai.007G210700.1,0.0127,0.4258,0.0298
298,Thecc1EG000572t1,Gorai.008G074400.1,0.0503,0.4902,0.1026
299,Thecc1EG000573t1,Gorai.007G210800.1,0.0171,0.2885,0.0594
300,Thecc1EG000575t1,Gorai.008G074500.1,0.0202,0.2865,0.0705
301,Thecc1EG000576t1,Gorai.008G074600.1,0.0309,0.3593,0.0861
302,Thecc1EG000577t1,Gorai.007G053500.1,0.0555,0.3633,0.1528
303,Thecc1EG000584t1,Gorai.007G211200.1,0.0702,0.4939,0.1421
304,Thecc1EG000588t1,Gorai.003G022800.1,0.0398,0.3459,0.115
305,Thecc1EG000589t1,Gorai.007G053800.1,0.0602,0.6013,0.1001
306,Thecc1EG000590t1,Gorai.007G211400.1,0.0214,0.3078,0.0697
307,Thecc1EG000592t1,Gorai.007G211600.1,0.0396,0.541,0.0731
308,Thecc1EG000593t1,Gorai.007G211700.1,0.0175,0.3614,0.0485
309,Thecc1EG000595t1,Gorai.007G211800.1,0.0486,0.3401,0.143
310,Thecc1EG000596t1,Gorai.007G211900.1,0.0528,0.5385,0.098
311,Thecc1EG000597t1,Gorai.007G212100.1,0.0378,0.3092,0.1222
312,Thecc1EG000599t1,Gorai.008G075000.1,0.0266,1.218,0.0218
313,Thecc1EG000601t1,Gorai.007G212400.1,0.0231,0.5511,0.0419
314,Thecc1EG000602t1,Gorai.007G212500.1,0.02,0.3382,0.0592
315,Thecc1EG000603t1,Gorai.008G075300.1,0.0363,0.3569,0.1017
316,Thecc1EG000604t1,Gorai.008G075400.1,0.0363,0.3943,0.0919
317,Thecc1EG000607t1,Gorai.007G212600.1,0.0425,0.3398,0.1251
318,Thecc1EG000608t1,Gorai.011G105500.1,0.0127,0.4191,0.0303
319,Thecc1EG000609t1,Gorai.007G212700.1,0.0414,0.4732,0.0874
320,Thecc1EG000610t1,Gorai.003G023500.1,0.0229,0.5228,0.0439
321,Thecc1EG000615t1,Gorai.003G025000.1,0.0702,0.5036,0.1394
322,Thecc1EG000619t1,Gorai.007G213300.1,0.0126,0.3403,0.0371
323,Thecc1EG000620t1,Gorai.007G213400.1,0.0189,0.3827,0.0494
324,Thecc1EG000621t1,Gorai.007G213500.1,0.0273,0.3149,0.0868
325,Thecc1EG000622t1,Gorai.008G076600.1,0.0307,0.3967,0.0775
326,Thecc1EG000623t1,Gorai.008G076700.1,0.0208,0.3498,0.0593
327,Thecc1EG000627t1,Gorai.007G054500.1,0.0405,0.8379,0.0483
328,Thecc1EG000628t1,Gorai.007G054100.1,0.0321,0.7857,0.0408
329,Thecc1EG000632t1,Gorai.007G213700.1,0.0474,0.5072,0.0935
330,Thecc1EG000639t1,Gorai.007G214000.1,0.0234,0.3375,0.0694
331,Thecc1EG000641t1,Gorai.007G214100.1,0.0432,0.4214,0.1024
332,Thecc1EG000642t1,Gorai.007G214400.1,0.0623,0.4217,0.1476
333,Thecc1EG000645t1,Gorai.007G214500.1,0.0171,0.3095,0.0552
334,Thecc1EG000647t1,Gorai.007G214600.1,0.0302,0.4513,0.0669
335,Thecc1EG000648t1,Gorai.008G077200.1,0.0143,0.3054,0.0469
336,Thecc1EG000649t1,Gorai.007G214800.1,0.044,0.519,0.0848
337,Thecc1EG000654t1,Gorai.003G025600.1,0.0352,0.4268,0.0825
338,Thecc1EG000655t1,Gorai.011G106100.1,0.0201,0.4354,0.0461
339,Thecc1EG000660t1,Gorai.007G215600.1,0.0609,0.4583,0.1328
340,Thecc1EG000661t1,Gorai.007G215700.1,0.0296,0.2709,0.1092
341,Thecc1EG000662t1,Gorai.007G215800.1,0.0457,0.3893,0.1174
