Grai	kirkii	kokia
Gorai.001G007700.1	augustus_masked-SEQ_558-processed-gene-87.8-mRNA-1	augustus_masked-SEQ_130244-processed-gene-0.39-mRNA-1
Gorai.001G007800.1	augustus_masked-SEQ_558-processed-gene-87.2-mRNA-1	maker-SEQ_130244-augustus-gene-0.42-mRNA-1
Gorai.001G007900.1	maker-SEQ_558-augustus-gene-87.47-mRNA-1	maker-SEQ_130244-augustus-gene-0.43-mRNA-1
Gorai.001G008000.1	maker-SEQ_558-snap-gene-87.55-mRNA-1	maker-SEQ_130244-augustus-gene-0.44-mRNA-1
Gorai.001G008100.1	snap_masked-SEQ_558-processed-gene-87.32-mRNA-1	genemark-SEQ_130244-processed-gene-0.7-mRNA-1
Gorai.001G008500.1	augustus_masked-SEQ_558-processed-gene-88.2-mRNA-1	augustus_masked-SEQ_130244-processed-gene-0.34-mRNA-1
Gorai.001G008800.1	maker-SEQ_558-snap-gene-88.59-mRNA-1	maker-SEQ_125951-augustus-gene-3.65-mRNA-1
Gorai.001G009200.1	augustus_masked-SEQ_558-processed-gene-88.7-mRNA-1	augustus_masked-SEQ_125951-processed-gene-3.50-mRNA-1
Gorai.001G009300.1	maker-SEQ_558-augustus-gene-88.56-mRNA-1	maker-SEQ_125951-augustus-gene-3.63-mRNA-1
Gorai.001G009400.1	maker-SEQ_558-augustus-gene-89.70-mRNA-1	maker-SEQ_125951-augustus-gene-3.59-mRNA-1
Gorai.001G009600.1	snap_masked-SEQ_558-processed-gene-89.38-mRNA-1	maker-SEQ_125951-augustus-gene-3.58-mRNA-1
Gorai.001G009700.1	genemark-SEQ_558-processed-gene-89.19-mRNA-1	maker-SEQ_125951-augustus-gene-3.57-mRNA-1
Gorai.001G009900.1	genemark-SEQ_558-processed-gene-89.20-mRNA-1	augustus_masked-SEQ_125951-processed-gene-3.47-mRNA-1
Gorai.001G010000.1	maker-SEQ_558-augustus-gene-89.67-mRNA-1	genemark-SEQ_125951-processed-gene-3.21-mRNA-1
Gorai.001G010200.1	maker-SEQ_558-augustus-gene-89.69-mRNA-1	maker-SEQ_125951-augustus-gene-3.61-mRNA-1
Gorai.001G010800.1	maker-SEQ_558-augustus-gene-90.58-mRNA-1	maker-SEQ_125951-augustus-gene-3.53-mRNA-1
Gorai.001G010900.1	genemark-SEQ_558-processed-gene-90.14-mRNA-1	augustus_masked-SEQ_125951-processed-gene-2.28-mRNA-1
Gorai.001G011100.1	maker-SEQ_558-augustus-gene-90.55-mRNA-1	maker-SEQ_125951-augustus-gene-2.36-mRNA-1
Gorai.001G011300.1	maker-SEQ_558-snap-gene-90.73-mRNA-1	maker-SEQ_125951-augustus-gene-2.33-mRNA-1
Gorai.001G012000.1	augustus_masked-SEQ_558-processed-gene-90.12-mRNA-1	maker-SEQ_125951-augustus-gene-2.30-mRNA-1
Gorai.001G012300.1	maker-SEQ_558-augustus-gene-91.49-mRNA-1	maker-SEQ_125951-augustus-gene-1.35-mRNA-1
Gorai.001G012700.1	maker-SEQ_558-augustus-gene-91.51-mRNA-1	genemark-SEQ_125951-processed-gene-1.9-mRNA-1
Gorai.001G012800.1	maker-SEQ_558-snap-gene-91.66-mRNA-1	maker-SEQ_125951-augustus-gene-1.29-mRNA-1
Gorai.001G012900.1	maker-SEQ_558-augustus-gene-91.57-mRNA-1	maker-SEQ_125951-augustus-gene-1.28-mRNA-1
Gorai.001G013000.1	maker-SEQ_558-augustus-gene-91.52-mRNA-1	maker-SEQ_125951-augustus-gene-1.33-mRNA-1
Gorai.001G013100.1	maker-SEQ_558-augustus-gene-91.53-mRNA-1	genemark-SEQ_125951-processed-gene-1.7-mRNA-1
Gorai.001G013500.1	maker-SEQ_558-augustus-gene-92.59-mRNA-1	maker-SEQ_125951-augustus-gene-0.34-mRNA-1
Gorai.001G013600.1	genemark-SEQ_558-processed-gene-92.25-mRNA-1	maker-SEQ_125951-augustus-gene-0.29-mRNA-1
Gorai.001G013700.1	maker-SEQ_558-augustus-gene-92.66-mRNA-1	maker-SEQ_125951-augustus-gene-0.28-mRNA-1
Gorai.001G013800.1	genemark-SEQ_558-processed-gene-92.20-mRNA-1	maker-SEQ_125951-augustus-gene-0.33-mRNA-1
Gorai.001G013900.1	maker-SEQ_558-augustus-gene-92.67-mRNA-1	augustus_masked-SEQ_125951-processed-gene-0.16-mRNA-1
Gorai.001G014200.1	maker-SEQ_558-augustus-gene-92.68-mRNA-1	maker-SEQ_125951-augustus-gene-0.26-mRNA-1
Gorai.001G015200.1	augustus_masked-SEQ_558-processed-gene-93.7-mRNA-1	maker-SEQ_125996-augustus-gene-0.35-mRNA-1
Gorai.001G015300.1	augustus_masked-SEQ_558-processed-gene-93.8-mRNA-1	maker-SEQ_125996-augustus-gene-0.34-mRNA-1
Gorai.001G015500.1	maker-SEQ_558-augustus-gene-93.54-mRNA-1	maker-SEQ_125996-augustus-gene-0.32-mRNA-1
Gorai.001G016300.1	maker-SEQ_558-snap-gene-94.78-mRNA-1	augustus_masked-SEQ_130241-processed-gene-0.27-mRNA-1
Gorai.001G016400.1	maker-SEQ_558-augustus-gene-94.65-mRNA-1	maker-SEQ_130241-augustus-gene-0.43-mRNA-1
Gorai.001G016600.1	maker-SEQ_558-augustus-gene-94.60-mRNA-1	maker-SEQ_130241-augustus-gene-0.37-mRNA-1
Gorai.001G016700.1	snap_masked-SEQ_558-processed-gene-94.44-mRNA-1	augustus_masked-SEQ_130241-processed-gene-0.29-mRNA-1
Gorai.001G016800.1	maker-SEQ_558-snap-gene-94.76-mRNA-1	augustus_masked-SEQ_130241-processed-gene-0.21-mRNA-1
Gorai.001G017100.1	maker-SEQ_558-augustus-gene-94.70-mRNA-1	maker-SEQ_129607-augustus-gene-0.7-mRNA-1
Gorai.001G017400.1	maker-SEQ_558-augustus-gene-95.42-mRNA-1	maker-SEQ_112395-augustus-gene-0.24-mRNA-1
Gorai.001G017800.1	augustus_masked-SEQ_558-processed-gene-95.7-mRNA-1	augustus_masked-SEQ_112395-processed-gene-0.11-mRNA-1
Gorai.001G017900.1	maker-SEQ_558-snap-gene-95.47-mRNA-1	maker-SEQ_112395-augustus-gene-0.26-mRNA-1
Gorai.001G018200.1	maker-SEQ_558-augustus-gene-96.47-mRNA-1	maker-SEQ_112394-augustus-gene-0.2-mRNA-1
Gorai.001G018300.1	maker-SEQ_558-snap-gene-96.59-mRNA-1	maker-SEQ_125826-augustus-gene-0.12-mRNA-1
Gorai.001G018700.1	maker-SEQ_558-augustus-gene-96.51-mRNA-1	augustus_masked-SEQ_117245-processed-gene-0.10-mRNA-1
Gorai.001G018800.1	maker-SEQ_558-snap-gene-96.56-mRNA-1	maker-SEQ_130102-augustus-gene-2.34-mRNA-1
Gorai.001G018900.1	maker-SEQ_558-augustus-gene-96.53-mRNA-1	genemark-SEQ_130102-processed-gene-2.10-mRNA-1
Gorai.001G019500.1	maker-SEQ_558-augustus-gene-97.60-mRNA-1	maker-SEQ_130102-augustus-gene-2.40-mRNA-1
Gorai.001G019600.1	maker-SEQ_558-augustus-gene-97.53-mRNA-1	augustus_masked-SEQ_130102-processed-gene-2.25-mRNA-1
Gorai.001G019800.1	augustus_masked-SEQ_558-processed-gene-97.11-mRNA-1	maker-SEQ_130102-augustus-gene-2.41-mRNA-1
Gorai.001G019900.1	snap_masked-SEQ_558-processed-gene-97.39-mRNA-1	maker-SEQ_130102-augustus-gene-2.38-mRNA-1
Gorai.001G020000.1	maker-SEQ_558-augustus-gene-97.63-mRNA-1	maker-SEQ_130102-augustus-gene-2.42-mRNA-1
Gorai.001G020100.1	maker-SEQ_558-augustus-gene-97.56-mRNA-1	maker-SEQ_130102-augustus-gene-3.31-mRNA-1
Gorai.001G020200.1	maker-SEQ_558-augustus-gene-97.64-mRNA-1	maker-SEQ_130102-augustus-gene-3.38-mRNA-1
Gorai.001G020500.1	snap_masked-SEQ_558-processed-gene-97.45-mRNA-1	maker-SEQ_130102-augustus-gene-3.35-mRNA-1
Gorai.001G020600.1	maker-SEQ_558-augustus-gene-98.56-mRNA-1	maker-SEQ_130102-augustus-gene-3.36-mRNA-1
Gorai.001G020700.1	maker-SEQ_558-augustus-gene-98.57-mRNA-1	maker-SEQ_130102-augustus-gene-3.37-mRNA-1
Gorai.001G020900.1	maker-SEQ_558-snap-gene-98.71-mRNA-1	genemark-SEQ_130102-processed-gene-3.13-mRNA-1
Gorai.001G021400.1	augustus_masked-SEQ_558-processed-gene-81.16-mRNA-1	augustus_masked-SEQ_130102-processed-gene-4.25-mRNA-1
Gorai.001G021500.1	maker-SEQ_558-augustus-gene-81.77-mRNA-1	maker-SEQ_130102-augustus-gene-4.43-mRNA-1
Gorai.001G021600.1	maker-SEQ_558-snap-gene-81.84-mRNA-1	augustus_masked-SEQ_130102-processed-gene-4.27-mRNA-1
Gorai.001G021700.1	maker-SEQ_558-snap-gene-81.83-mRNA-1	maker-SEQ_130102-augustus-gene-4.48-mRNA-1
Gorai.001G021800.1	maker-SEQ_558-augustus-gene-81.76-mRNA-1	maker-SEQ_130102-augustus-gene-4.44-mRNA-1
Gorai.001G022100.1	augustus_masked-SEQ_558-processed-gene-81.6-mRNA-1	augustus_masked-SEQ_130102-processed-gene-4.34-mRNA-1
Gorai.001G022200.1	maker-SEQ_558-augustus-gene-81.73-mRNA-1	maker-SEQ_130102-augustus-gene-4.49-mRNA-1
Gorai.001G022300.1	maker-SEQ_558-augustus-gene-81.72-mRNA-1	maker-SEQ_130102-augustus-gene-4.50-mRNA-1
Gorai.001G022900.1	maker-SEQ_558-augustus-gene-98.60-mRNA-1	maker-SEQ_130102-augustus-gene-5.36-mRNA-1
Gorai.001G023100.1	maker-SEQ_558-augustus-gene-98.61-mRNA-1	maker-SEQ_130102-augustus-gene-5.37-mRNA-1
Gorai.001G023800.1	augustus_masked-SEQ_558-processed-gene-99.4-mRNA-1	maker-SEQ_130102-augustus-gene-5.41-mRNA-1
Gorai.001G024300.1	maker-SEQ_558-snap-gene-99.81-mRNA-1	maker-SEQ_130102-augustus-gene-5.45-mRNA-1
Gorai.001G024500.1	maker-SEQ_558-augustus-gene-99.68-mRNA-1	maker-SEQ_130102-augustus-gene-6.41-mRNA-1
Gorai.001G024600.1	augustus_masked-SEQ_558-processed-gene-99.12-mRNA-1	maker-SEQ_130102-augustus-gene-6.42-mRNA-1
Gorai.001G024700.1	snap_masked-SEQ_558-processed-gene-100.34-mRNA-1	genemark-SEQ_130102-processed-gene-6.3-mRNA-1
Gorai.001G026000.1	maker-SEQ_558-augustus-gene-100.65-mRNA-1	maker-SEQ_130102-augustus-gene-6.45-mRNA-1
Gorai.001G026100.1	maker-SEQ_558-snap-gene-100.73-mRNA-1	genemark-SEQ_130102-processed-gene-7.3-mRNA-1
Gorai.001G026700.1	genemark-SEQ_558-processed-gene-101.12-mRNA-1	augustus_masked-SEQ_130102-processed-gene-7.29-mRNA-1
Gorai.001G026900.1	maker-SEQ_558-augustus-gene-101.50-mRNA-1	maker-SEQ_130102-augustus-gene-7.48-mRNA-1
Gorai.001G027000.1	genemark-SEQ_558-processed-gene-101.20-mRNA-1	genemark-SEQ_130102-processed-gene-7.19-mRNA-1
Gorai.001G027100.1	maker-SEQ_558-augustus-gene-101.56-mRNA-1	maker-SEQ_130102-augustus-gene-7.56-mRNA-1
Gorai.001G027200.1	maker-SEQ_558-augustus-gene-101.57-mRNA-1	maker-SEQ_130102-augustus-gene-7.57-mRNA-1
Gorai.001G027500.1	maker-SEQ_558-snap-gene-101.62-mRNA-1	maker-SEQ_130102-augustus-gene-7.49-mRNA-1
Gorai.001G027900.1	maker-SEQ_558-augustus-gene-102.61-mRNA-1	maker-SEQ_115694-augustus-gene-0.19-mRNA-1
Gorai.001G028200.1	maker-SEQ_558-augustus-gene-102.62-mRNA-1	maker-SEQ_115694-augustus-gene-0.18-mRNA-1
Gorai.001G028400.1	maker-SEQ_558-augustus-gene-102.63-mRNA-1	maker-SEQ_111450-augustus-gene-0.21-mRNA-1
Gorai.001G028900.1	maker-SEQ_558-augustus-gene-102.66-mRNA-1	maker-SEQ_111450-augustus-gene-0.26-mRNA-1
Gorai.001G029300.1	maker-SEQ_558-snap-gene-103.90-mRNA-1	maker-SEQ_120413-augustus-gene-0.7-mRNA-1
Gorai.001G029400.1	maker-SEQ_558-snap-gene-103.86-mRNA-1	augustus_masked-SEQ_121390-processed-gene-0.21-mRNA-1
Gorai.001G029600.1	maker-SEQ_558-augustus-gene-103.80-mRNA-1	genemark-SEQ_121390-processed-gene-0.4-mRNA-1
Gorai.001G029700.1	maker-SEQ_558-augustus-gene-103.76-mRNA-1	maker-SEQ_121390-augustus-gene-0.28-mRNA-1
Gorai.001G029800.1	maker-SEQ_558-snap-gene-103.88-mRNA-1	maker-SEQ_121390-augustus-gene-0.26-mRNA-1
Gorai.001G030000.1	maker-SEQ_558-augustus-gene-103.81-mRNA-1	maker-SEQ_121390-augustus-gene-0.23-mRNA-1
Gorai.001G030600.1	maker-SEQ_558-augustus-gene-103.78-mRNA-1	genemark-SEQ_129975-processed-gene-1.37-mRNA-1
Gorai.001G031100.1	augustus_masked-SEQ_558-processed-gene-104.0-mRNA-1	maker-SEQ_129975-augustus-gene-1.91-mRNA-1
Gorai.001G031300.1	maker-SEQ_558-augustus-gene-104.64-mRNA-1	maker-SEQ_129975-augustus-gene-1.78-mRNA-1
Gorai.001G031400.1	genemark-SEQ_558-processed-gene-104.26-mRNA-1	maker-SEQ_129975-augustus-gene-1.77-mRNA-1
Gorai.001G032200.1	maker-SEQ_558-snap-gene-104.71-mRNA-1	augustus_masked-SEQ_129975-processed-gene-1.64-mRNA-1
Gorai.001G032600.1	maker-SEQ_558-augustus-gene-105.83-mRNA-1	maker-SEQ_129975-augustus-gene-1.85-mRNA-1
Gorai.001G032700.1	maker-SEQ_558-augustus-gene-105.88-mRNA-1	maker-SEQ_129975-augustus-gene-1.75-mRNA-1
Gorai.001G032800.1	maker-SEQ_558-augustus-gene-105.84-mRNA-1	augustus_masked-SEQ_129975-processed-gene-1.61-mRNA-1
Gorai.001G033000.1	maker-SEQ_558-snap-gene-105.101-mRNA-1	maker-SEQ_129975-augustus-gene-1.73-mRNA-1
Gorai.001G033200.1	maker-SEQ_558-augustus-gene-105.90-mRNA-1	maker-SEQ_129975-augustus-gene-1.72-mRNA-1
Gorai.001G033300.1	maker-SEQ_558-augustus-gene-105.85-mRNA-1	maker-SEQ_129975-augustus-gene-1.83-mRNA-1
Gorai.001G033600.1	maker-SEQ_558-augustus-gene-105.91-mRNA-1	maker-SEQ_129975-augustus-gene-0.46-mRNA-1
Gorai.001G033700.1	augustus_masked-SEQ_558-processed-gene-105.6-mRNA-1	maker-SEQ_129975-augustus-gene-0.52-mRNA-1
Gorai.001G033800.1	maker-SEQ_558-augustus-gene-105.92-mRNA-1	genemark-SEQ_129975-processed-gene-0.7-mRNA-1
Gorai.001G034000.1	maker-SEQ_558-snap-gene-105.105-mRNA-1	maker-SEQ_130098-augustus-gene-4.79-mRNA-1
Gorai.001G034200.1	maker-SEQ_558-augustus-gene-105.87-mRNA-1	maker-SEQ_130098-augustus-gene-4.88-mRNA-1
Gorai.001G034500.1	maker-SEQ_558-snap-gene-105.106-mRNA-1	maker-SEQ_130098-augustus-gene-4.78-mRNA-1
Gorai.001G034600.1	maker-SEQ_558-snap-gene-106.81-mRNA-1	genemark-SEQ_130098-processed-gene-4.7-mRNA-1
Gorai.001G034900.1	genemark-SEQ_558-processed-gene-106.6-mRNA-1	genemark-SEQ_130098-processed-gene-4.27-mRNA-1
Gorai.001G035000.1	maker-SEQ_558-snap-gene-106.75-mRNA-1	maker-SEQ_130098-augustus-gene-4.85-mRNA-1
Gorai.001G035500.1	maker-SEQ_558-augustus-gene-106.70-mRNA-1	genemark-SEQ_130098-processed-gene-3.6-mRNA-1
Gorai.001G036000.1	maker-SEQ_558-augustus-gene-107.64-mRNA-1	maker-SEQ_130098-augustus-gene-3.40-mRNA-1
Gorai.001G036400.1	maker-SEQ_558-augustus-gene-107.65-mRNA-1	maker-SEQ_130098-augustus-gene-3.39-mRNA-1
Gorai.001G036900.1	maker-SEQ_558-augustus-gene-108.41-mRNA-1	augustus_masked-SEQ_130098-processed-gene-2.26-mRNA-1
Gorai.001G037100.1	maker-SEQ_558-augustus-gene-108.42-mRNA-1	maker-SEQ_130098-augustus-gene-2.35-mRNA-1
Gorai.001G037200.1	maker-SEQ_558-snap-gene-108.44-mRNA-1	maker-SEQ_130098-augustus-gene-2.38-mRNA-1
Gorai.001G037700.1	maker-SEQ_558-snap-gene-109.88-mRNA-1	maker-SEQ_130098-augustus-gene-1.51-mRNA-1
Gorai.001G037800.1	maker-SEQ_558-augustus-gene-109.75-mRNA-1	maker-SEQ_130098-augustus-gene-1.50-mRNA-1
Gorai.001G037900.1	maker-SEQ_558-augustus-gene-109.76-mRNA-1	maker-SEQ_130098-augustus-gene-1.49-mRNA-1
Gorai.001G038100.1	maker-SEQ_558-augustus-gene-109.84-mRNA-1	maker-SEQ_130098-augustus-gene-1.41-mRNA-1
Gorai.001G038300.1	maker-SEQ_558-augustus-gene-109.77-mRNA-1	maker-SEQ_130098-augustus-gene-1.48-mRNA-1
Gorai.001G038600.1	maker-SEQ_558-augustus-gene-109.78-mRNA-1	maker-SEQ_130098-augustus-gene-1.47-mRNA-1
Gorai.001G038700.1	maker-SEQ_558-augustus-gene-109.79-mRNA-1	maker-SEQ_130098-augustus-gene-1.46-mRNA-1
Gorai.001G038900.1	maker-SEQ_558-augustus-gene-109.80-mRNA-1	maker-SEQ_130098-augustus-gene-1.45-mRNA-1
Gorai.001G039000.1	genemark-SEQ_558-processed-gene-109.31-mRNA-1	augustus_masked-SEQ_130098-processed-gene-1.31-mRNA-1
Gorai.001G039100.1	maker-SEQ_558-augustus-gene-109.81-mRNA-1	maker-SEQ_130098-augustus-gene-1.44-mRNA-1
Gorai.001G039900.1	maker-SEQ_558-augustus-gene-110.66-mRNA-1	maker-SEQ_114430-augustus-gene-0.6-mRNA-1
Gorai.001G040200.1	maker-SEQ_558-augustus-gene-110.68-mRNA-1	maker-SEQ_120796-augustus-gene-0.51-mRNA-1
Gorai.001G040300.1	maker-SEQ_558-augustus-gene-110.76-mRNA-1	maker-SEQ_120796-augustus-gene-0.58-mRNA-1
Gorai.001G040400.1	maker-SEQ_558-snap-gene-110.84-mRNA-1	maker-SEQ_120796-augustus-gene-0.52-mRNA-1
Gorai.001G040700.1	maker-SEQ_558-augustus-gene-110.71-mRNA-1	maker-SEQ_120796-augustus-gene-0.54-mRNA-1
Gorai.001G040900.1	maker-SEQ_558-augustus-gene-110.77-mRNA-1	maker-SEQ_120796-augustus-gene-0.59-mRNA-1
Gorai.001G041100.1	maker-SEQ_558-augustus-gene-110.72-mRNA-1	maker-SEQ_120796-augustus-gene-0.55-mRNA-1
Gorai.001G041500.1	maker-SEQ_558-snap-gene-110.95-mRNA-1	augustus_masked-SEQ_120796-processed-gene-0.46-mRNA-1
Gorai.001G041700.1	maker-SEQ_558-augustus-gene-111.69-mRNA-1	maker-SEQ_120796-augustus-gene-0.64-mRNA-1
Gorai.001G041900.1	maker-SEQ_558-augustus-gene-111.63-mRNA-1	genemark-SEQ_120796-processed-gene-0.11-mRNA-1
Gorai.001G042000.1	maker-SEQ_558-snap-gene-111.73-mRNA-1	augustus_masked-SEQ_130246-processed-gene-2.28-mRNA-1
Gorai.001G042100.1	maker-SEQ_558-augustus-gene-111.70-mRNA-1	maker-SEQ_130246-augustus-gene-2.32-mRNA-1
Gorai.001G042300.1	augustus_masked-SEQ_558-processed-gene-111.31-mRNA-1	genemark-SEQ_130246-processed-gene-2.4-mRNA-1
Gorai.001G042600.1	maker-SEQ_234-augustus-gene-0.6-mRNA-1	augustus_masked-SEQ_130246-processed-gene-1.42-mRNA-1
Gorai.001G042700.1	maker-SEQ_558-augustus-gene-112.77-mRNA-1	maker-SEQ_130246-augustus-gene-1.47-mRNA-1
Gorai.001G043000.1	maker-SEQ_558-augustus-gene-112.78-mRNA-1	maker-SEQ_130246-augustus-gene-1.46-mRNA-1
Gorai.001G043300.1	maker-SEQ_558-augustus-gene-112.79-mRNA-1	maker-SEQ_130246-augustus-gene-1.44-mRNA-1
Gorai.001G043500.1	genemark-SEQ_558-processed-gene-112.18-mRNA-1	maker-SEQ_130246-augustus-gene-1.43-mRNA-1
Gorai.001G043600.1	augustus_masked-SEQ_558-processed-gene-112.39-mRNA-1	augustus_masked-SEQ_130246-processed-gene-1.28-mRNA-1
Gorai.001G043700.1	augustus_masked-SEQ_558-processed-gene-112.31-mRNA-1	maker-SEQ_130246-augustus-gene-1.48-mRNA-1
Gorai.001G044000.1	maker-SEQ_558-snap-gene-112.87-mRNA-1	genemark-SEQ_130246-processed-gene-0.16-mRNA-1
Gorai.001G044800.1	maker-SEQ_558-snap-gene-113.67-mRNA-1	maker-SEQ_130246-augustus-gene-0.31-mRNA-1
Gorai.001G045500.1	maker-SEQ_558-augustus-gene-114.69-mRNA-1	maker-SEQ_130176-augustus-gene-2.49-mRNA-1
Gorai.001G045600.1	maker-SEQ_558-snap-gene-114.72-mRNA-1	genemark-SEQ_130176-processed-gene-2.23-mRNA-1
Gorai.001G045700.1	genemark-SEQ_558-processed-gene-114.20-mRNA-1	maker-SEQ_130176-augustus-gene-2.57-mRNA-1
Gorai.001G045800.1	maker-SEQ_558-snap-gene-114.81-mRNA-1	maker-SEQ_130176-augustus-gene-2.48-mRNA-1
Gorai.001G046100.1	maker-SEQ_558-augustus-gene-114.63-mRNA-1	maker-SEQ_130176-augustus-gene-2.56-mRNA-1
Gorai.001G046300.1	maker-SEQ_558-augustus-gene-114.71-mRNA-1	maker-SEQ_130176-augustus-gene-2.47-mRNA-1
Gorai.001G046500.1	augustus_masked-SEQ_558-processed-gene-114.11-mRNA-1	maker-SEQ_130176-augustus-gene-2.53-mRNA-1
Gorai.001G046700.1	maker-SEQ_558-snap-gene-115.89-mRNA-1	augustus_masked-SEQ_130176-processed-gene-2.26-mRNA-1
Gorai.001G046900.1	maker-SEQ_558-augustus-gene-115.79-mRNA-1	maker-SEQ_130176-augustus-gene-2.45-mRNA-1
Gorai.001G047000.1	maker-SEQ_558-snap-gene-115.91-mRNA-1	maker-SEQ_130176-augustus-gene-2.44-mRNA-1
Gorai.001G047200.1	augustus_masked-SEQ_558-processed-gene-115.25-mRNA-1	genemark-SEQ_130176-processed-gene-1.25-mRNA-1
Gorai.001G047800.1	maker-SEQ_558-augustus-gene-115.82-mRNA-1	genemark-SEQ_116097-processed-gene-0.15-mRNA-1
Gorai.001G047900.1	maker-SEQ_558-snap-gene-115.87-mRNA-1	maker-SEQ_116097-augustus-gene-0.93-mRNA-1
Gorai.001G048000.1	maker-SEQ_558-snap-gene-115.88-mRNA-1	genemark-SEQ_116097-processed-gene-0.32-mRNA-1
Gorai.001G048100.1	maker-SEQ_558-augustus-gene-115.83-mRNA-1	maker-SEQ_116097-augustus-gene-0.83-mRNA-1
Gorai.001G048200.1	genemark-SEQ_558-processed-gene-116.20-mRNA-1	maker-SEQ_116097-augustus-gene-0.90-mRNA-1
Gorai.001G048300.1	genemark-SEQ_558-processed-gene-116.23-mRNA-1	maker-SEQ_116097-augustus-gene-0.82-mRNA-1
Gorai.001G048800.1	maker-SEQ_558-augustus-gene-116.78-mRNA-1	augustus_masked-SEQ_116097-processed-gene-0.58-mRNA-1
Gorai.001G049400.1	maker-SEQ_558-snap-gene-116.93-mRNA-1	maker-SEQ_116097-augustus-gene-0.86-mRNA-1
Gorai.001G049700.1	maker-SEQ_558-augustus-gene-116.87-mRNA-1	maker-SEQ_116097-augustus-gene-0.75-mRNA-1
Gorai.001G049900.1	maker-SEQ_558-snap-gene-117.80-mRNA-1	augustus_masked-SEQ_116097-processed-gene-0.38-mRNA-1
Gorai.001G050300.1	maker-SEQ_558-augustus-gene-117.66-mRNA-1	augustus_masked-SEQ_124651-processed-gene-0.22-mRNA-1
